date,network,daypart,viewers
201403,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1072
201403,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1287
201403,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",471
201403,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1015
201403,A,"M,T,W,R,F 6:00 PM - 8:00 PM",325
201403,B,"M,T,W,R,F 6:00 PM - 8:00 PM",536
201403,C,"M,T,W,R,F 6:00 PM - 8:00 PM",820
201403,D,"M,T,W,R,F 6:00 PM - 8:00 PM",175
201403,E,"M,T,W,R,F 6:00 PM - 8:00 PM",531
201403,A,"M,T,W,R,F 4:00 PM - 6:00 PM",234
201403,B,"M,T,W,R,F 4:00 PM - 6:00 PM",376
201403,C,"M,T,W,R,F 4:00 PM - 6:00 PM",673
201403,D,"M,T,W,R,F 4:00 PM - 6:00 PM",131
201403,E,"M,T,W,R,F 4:00 PM - 6:00 PM",374
201403,A,"M,T,W,R,F 1:00 PM - 4:00 PM",172
201403,B,"M,T,W,R,F 1:00 PM - 4:00 PM",330
201403,C,"M,T,W,R,F 1:00 PM - 4:00 PM",579
201403,D,"M,T,W,R,F 1:00 PM - 4:00 PM",130
201403,E,"M,T,W,R,F 1:00 PM - 4:00 PM",296
201403,A,"M,T,W,R,F 10:00 AM - 1:00 PM",134
201403,B,"M,T,W,R,F 10:00 AM - 1:00 PM",343
201403,C,"M,T,W,R,F 10:00 AM - 1:00 PM",426
201403,D,"M,T,W,R,F 10:00 AM - 1:00 PM",176
201403,E,"M,T,W,R,F 10:00 AM - 1:00 PM",236
201403,A,"M,T,W,R,F 6:00 AM - 10:00 AM",103
201403,B,"M,T,W,R,F 6:00 AM - 10:00 AM",249
201403,C,"M,T,W,R,F 6:00 AM - 10:00 AM",226
201403,D,"M,T,W,R,F 6:00 AM - 10:00 AM",131
201403,E,"M,T,W,R,F 6:00 AM - 10:00 AM",138
201403,A,"S,Su 1:00 PM - 8:00 PM",405
201403,B,"S,Su 1:00 PM - 8:00 PM",610
201403,C,"S,Su 1:00 PM - 8:00 PM",1353
201403,D,"S,Su 1:00 PM - 8:00 PM",205
201403,E,"S,Su 1:00 PM - 8:00 PM",704
201404,A,"S,Su 8:00 AM - 1:00 PM",284
201404,B,"S,Su 8:00 AM - 1:00 PM",399
201404,C,"S,Su 8:00 AM - 1:00 PM",926
201404,D,"S,Su 8:00 AM - 1:00 PM",148
201404,E,"S,Su 8:00 AM - 1:00 PM",321
201404,A,"S,Su 6:00 AM - 8:00 AM",138
201404,B,"S,Su 6:00 AM - 8:00 AM",0
201404,C,"S,Su 6:00 AM - 8:00 AM",265
201404,D,"S,Su 6:00 AM - 8:00 AM",107
201404,E,"S,Su 6:00 AM - 8:00 AM",0
201404,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",258
201404,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",303
201404,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",415
201404,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",144
201404,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",328
201404,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",517
201404,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",601
201404,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",881
201404,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",227
201404,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",588
201404,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",820
201404,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1028
201404,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1171
201404,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",291
201404,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",917
201404,A,"M,T,W,R,F 6:00 PM - 8:00 PM",310
201404,B,"M,T,W,R,F 6:00 PM - 8:00 PM",494
201404,C,"M,T,W,R,F 6:00 PM - 8:00 PM",729
201404,D,"M,T,W,R,F 6:00 PM - 8:00 PM",160
201404,E,"M,T,W,R,F 6:00 PM - 8:00 PM",501
201404,A,"M,T,W,R,F 4:00 PM - 6:00 PM",221
201404,B,"M,T,W,R,F 4:00 PM - 6:00 PM",311
201404,C,"M,T,W,R,F 4:00 PM - 6:00 PM",607
201404,D,"M,T,W,R,F 4:00 PM - 6:00 PM",122
201404,E,"M,T,W,R,F 4:00 PM - 6:00 PM",377
201404,A,"M,T,W,R,F 1:00 PM - 4:00 PM",194
201404,B,"M,T,W,R,F 1:00 PM - 4:00 PM",290
201404,C,"M,T,W,R,F 1:00 PM - 4:00 PM",530
201404,D,"M,T,W,R,F 1:00 PM - 4:00 PM",120
201404,E,"M,T,W,R,F 1:00 PM - 4:00 PM",301
201404,A,"M,T,W,R,F 10:00 AM - 1:00 PM",160
201404,B,"M,T,W,R,F 10:00 AM - 1:00 PM",293
201404,C,"M,T,W,R,F 10:00 AM - 1:00 PM",408
201404,D,"M,T,W,R,F 10:00 AM - 1:00 PM",184
201404,E,"M,T,W,R,F 10:00 AM - 1:00 PM",207
201404,A,"M,T,W,R,F 6:00 AM - 10:00 AM",135
201404,B,"M,T,W,R,F 6:00 AM - 10:00 AM",216
201404,C,"M,T,W,R,F 6:00 AM - 10:00 AM",213
201404,D,"M,T,W,R,F 6:00 AM - 10:00 AM",118
201404,E,"M,T,W,R,F 6:00 AM - 10:00 AM",143
201404,A,"S,Su 1:00 PM - 8:00 PM",408
201404,B,"S,Su 1:00 PM - 8:00 PM",529
201404,C,"S,Su 1:00 PM - 8:00 PM",1190
201404,D,"S,Su 1:00 PM - 8:00 PM",179
201404,E,"S,Su 1:00 PM - 8:00 PM",632
201405,A,"S,Su 8:00 AM - 1:00 PM",216
201405,B,"S,Su 8:00 AM - 1:00 PM",371
201405,C,"S,Su 8:00 AM - 1:00 PM",875
201405,D,"S,Su 8:00 AM - 1:00 PM",146
201405,E,"S,Su 8:00 AM - 1:00 PM",323
201405,A,"S,Su 6:00 AM - 8:00 AM",101
201405,B,"S,Su 6:00 AM - 8:00 AM",0
201405,C,"S,Su 6:00 AM - 8:00 AM",286
201405,D,"S,Su 6:00 AM - 8:00 AM",120
201405,E,"S,Su 6:00 AM - 8:00 AM",0
201405,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",239
201405,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",296
201405,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",449
201405,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",145
201405,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",312
201405,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",456
201405,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",534
201405,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",895
201405,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",207
201405,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",593
201405,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",657
201405,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",986
